#Position;ScrubName;DisplayName;StoredName;Type;Format;Parent
1;dw_record_id;rowID;rowID;string;;
2;dw_member_id;memberId;memberId;string;;
3;dw_benplan_div_id;dw_benplan_div_id;dw_benplan_div_id;string;;
4;mbr_id;unblindMemberId;unblindMemberId;string;;
5;employee_id;employeeId;employeeId;string;;
6;ins_policy_id;insurancePolicyNumber;insurancePolicyNumber;string;;
7;mbr_ssn;memberSSN;memberSSN;string;;
8;mbr_first_name;memberFirstName;memberFirstName;string;;
9;mbr_middle_name;memberMiddleName;memberMiddleName;string;;
10;mbr_last_name;memberLastName;memberLastName;string;;
11;mbr_current_status;currentStatus;currentStatus;string;;
12;mbr_gender;memberGenderId;memberGenderId;string;;
13;mbr_dob;memberDOB;memberDOB;date;;
14;mbr_street_1;memberStreetAddr1;memberStreetAddr1;string;;
15;mbr_street_2;memberStreetAddr2;memberStreetAddr2;string;;
16;mbr_city;memberCityId;memberCityId;string;;
17;mbr_county;memberCountyId;memberCountyId;string;;
18;mbr_state;memberState;memberState;string;;
19;mbr_zip;memberZipId;memberZipId;string;;
20;mbr_phone;memberPhone;memberPhone;string;;
21;mbr_email_address;memberEmail;memberEmail;string;;
22;mbr_marital_status;memberMaritalStatus;memberMaritalStatus;string;;
23;mbr_race;memberRace;memberRace;string;;
24;mbr_ethnic_group;memberEthnicGroup;memberEthnicGroup;string;;
25;mbr_edu_lvl;memberEducationLevel;memberEducationLevel;string;;
26;mbr_region_code;memberRegion;memberRegionCode;string;;
27;mbr_region_name;memberRegionName;memberRegionName;string;;
28;mbr_relationship_code;relationshipId;relationshipId;string;;
29;mbr_relationship_desc;memberRelationshipDesc;memberRelationshipDesc;string;;
30;mbr_relationship_class;memberRelationshipClass;memberRelationshipClass;string;;
31;mbr_primary_elig;memberPrimaryElig;memberPrimaryElig;string;;
32;ins_plan_type_code;planTypeId;planTypeId;string;;
33;ins_plan_type_desc;planTypeDesc;planTypeDesc;string;;
34;ins_carrier_id;carrierId;carrierId;string;;
35;ins_carrier_name;carrierName;carrierName;string;;
36;ins_coverage_type_code;contractTypeId;contractTypeId;string;;
37;ins_coverage_type_desc;coverageTypeDesc;coverageTypeDesc;string;;
38;ins_plan_id;planId;planId;string;;
39;ins_plan_desc;planDesc;planDesc;string;;
40;ins_emp_group_id;groupId;groupId;string;;
41;ins_emp_group_name;groupName;groupName;string;;
42;ins_division_id;divisionId;divisionId;string;;
43;ins_division_name;divisionName;divisionName;string;;
44;ins_cobra_code;cobraCode;cobraCode;string;;
45;ins_cobra_desc;cobraDesc;cobraDesc;string;;
46;ins_med_eff_date;effectiveDate;effectiveDate;date;;
47;ins_med_term_date;terminationDate;terminationDate;date;;
48;ins_rx_eff_date;rxEffDate;rxEffDate;date;;
49;ins_rx_term_date;rxTermDate;rxTermDate;date;;
