"15807"|"E944.3"|"Adverse Effect Of Saluretics"|"DWSD13"|"Miscellaneous"|"DWD232"|"Medical/Surgical Complications"|"DW-104"|"Adverse Drug Effects"|""|"N"|"M1.5"
"15951"|"E968.1"|"Assault By Pushing From High Place"|"DWSD21"|"Trauma"|"DWD114"|"Assault and Abuse"|"DW-108"|"Assault/Neglect/Abuse"|""|"N"|"M1.5"
"19693"|"D03.72"|"Melanoma In Situ Of Left Lower Limb, Including Hip"|"DWSD01"|"Cancer"|"DWD233"|"Melanoma"|""|""|""|"Y"|"M1.5"
"19837"|"D21.0"|"Benign Neoplasm Of Connctv/soft Tiss Of Head, Face And Neck"|"DWSD16"|"Non-malignant Neoplasm"|"DWD118"|"Benign Neoplasm"|""|""|""|"Y"|"M1.5"
"23862"|"H40.41X2"|"Glaucoma Secondary To Eye Inflam, Right Eye, Moderate Stage"|"DWSD07"|"Eye/ENT Disorders"|"DWD197"|"Glaucoma"|""|""|""|"Y"|"M1.5"
"20010"|"D41.22"|"Neoplasm Of Uncertain Behavior Of Left Ureter"|"DWSD16"|"Non-malignant Neoplasm"|"DWD340"|"Tumor of Uncertain Behavior"|""|""|""|"Y"|"M1.5"
"20154"|"D58.9"|"Hereditary Hemolytic Anemia, Unspecified"|"DWSD10"|"Hematological Disorders"|"DWD110"|"Anemias"|""|""|""|"Y"|"M1.5"
"30063"|"M22.90"|"Unspecified Disorder Of Patella, Unspecified Knee"|"DWSD14"|"Musculoskeletal Disorders"|"DWD219"|"Joint Derangement"|""|""|""|"Y"|"M1.5"
"30207"|"M23.311"|"Oth Meniscus Derang, Ant Horn Of Medial Meniscus, R Knee"|"DWSD14"|"Musculoskeletal Disorders"|"DWD219"|"Joint Derangement"|""|""|""|"Y"|"M1.5"
"27781"|"M00.119"|"Pneumococcal Arthritis, Unspecified Shoulder"|"DWSD14"|"Musculoskeletal Disorders"|"DWD214"|"Infectious Arthropathies"|""|""|""|"Y"|"M1.5"
"27925"|"K28.0"|"Acute Gastrojejunal Ulcer With Hemorrhage"|"DWSD08"|"Gastrointestinal Disorders"|"DWD288"|"Peptic Ulcer/Related Disorders"|""|""|""|"Y"|"M1.5"
"44053"|"S32.451B"|"Displaced Transverse Fx Right Acetabulum, Init For Opn Fx"|"DWSD21"|"Trauma"|"DWD192"|"Fracture of Pelvis"|""|""|""|"Y"|"M1.5"
"44197"|"S27.63XA"|"Laceration Of Pleura, Initial Encounter"|"DWSD21"|"Trauma"|"DWD356"|"Wounds/Injuries"|""|""|""|"Y"|"M1.5"
"44341"|"S33.131A"|"Dislocation Of L3/l4 Lumbar Vertebra, Initial Encounter"|"DWSD21"|"Trauma"|"DWD171"|"Dislocations"|""|""|""|"Y"|"M1.5"
"28071"|"K52.89"|"Other Specified Noninfective Gastroenteritis And Colitis"|"DWSD08"|"Gastrointestinal Disorders"|"DWD267"|"GI Disorders, Other"|""|""|""|"Y"|"M1.5"
"28215"|"K80.00"|"Calculus Of Gallbladder W Acute Cholecyst W/o Obstruction"|"DWSD08"|"Gastrointestinal Disorders"|"DWD195"|"Gallbladder and Biliary Disease"|""|""|""|"Y"|"M1.5"
"28359"|"M07.629"|"Enteropathic Arthropathies, Unspecified Elbow"|"DWSD14"|"Musculoskeletal Disorders"|"DWD160"|"Arthropathies, Other"|""|""|""|"Y"|"M1.5"
"28503"|"M07.679"|"Enteropathic Arthropathies, Unspecified Ankle And Foot"|"DWSD14"|"Musculoskeletal Disorders"|"DWD160"|"Arthropathies, Other"|""|""|""|"Y"|"M1.5"
"28647"|"M10.139"|"Lead-induced Gout, Unspecified Wrist"|"DWSD14"|"Musculoskeletal Disorders"|"DWD198"|"Gout"|""|""|""|"Y"|"M1.5"
"20340"|"E11.359"|"Type 2 Diabetes W Prolif Diabetic Rtnop W/o Macular Edema"|"DWSD05"|"Diabetes"|"DWD169"|"Diabetes Mellitus"|""|""|""|"Y"|"M1.5"
"28801"|"L97.109"|"Non-pressure Chronic Ulcer Of Unsp Thigh With Unsp Severity"|"DWSD04"|"Dermatological Disorders"|"DWD325"|"Skin Ulcers"|""|""|""|"Y"|"M1.5"
"28945"|"M00.259"|"Other Streptococcal Arthritis, Unspecified Hip"|"DWSD14"|"Musculoskeletal Disorders"|"DWD214"|"Infectious Arthropathies"|""|""|""|"Y"|"M1.5"
