#Position;ScrubName;DisplayName;StoredName;Type;Format;Parent
1;dw_record_id;rowID;rowID;string;;
2;dw_member_id;memberId;memberId;string;;
3;employee_id;employeeId;employeeId;string;;
4;mbr_id;unblindMemberId;unblindMemberId;string;;
5;mbr_ssn;memberSSN;memberSSN;string;;
6;mbr_first_name;memberFirstName;memberFirstName;string;;
7;mbr_middle_name;memberMiddleName;memberMiddleName;string;;
8;mbr_last_name;memberLastName;memberLastName;string;;
9;mbr_gender;memberGenderId;memberGenderId;string;;
10;mbr_street_1;memberStreetAddr1;memberStreetAddr1;string;;
11;mbr_street_2;memberStreetAddr2;memberStreetAddr2;string;;
12;mbr_city;memberCityId;memberCityId;string;;
13;mbr_county;memberCountyId;memberCountyId;string;;
14;mbr_state;memberState;memberState;string;;
15;mbr_zip;memberZipId;memberZipId;string;;
16;mbr_phone;memberPhone;memberPhone;string;;
17;mbr_region_code;memberRegionCode;memberRegionCode;string;;
18;mbr_region_name;memberRegionName;memberRegionName;string;;
19;mbr_relationship_code;relationshipId;relationshipId;string;;
20;mbr_relationship_description;relationshipDescription;relationshipDescription;string;;
21;mbr_relationship_class;memberRelationshipClass;memberRelationshipClass;string;;
22;mbr_dob;memberDOB;memberDOB;date;;
23;mbr_age_range;mbrAgeRangeId;mbrAgeRangeId;string;;
24;ins_emp_group_id;groupId;groupId;string;;
25;ins_emp_group_name;groupName;groupName;string;;
26;ins_plan_type_code;planTypeId;planTypeId;string;;
27;ins_plan_type_desc;planTypeDesc;planTypeDesc;string;;
28;ins_carrier_id;carrierId;carrierId;string;;
29;ins_carrier_name;carrierName;carrierName;string;;
30;ins_coverage_type_code;insCoverageTypeCode;insCoverageTypeCode;string;;
31;ins_coverage_type_desc;insCoverageTypeDesc;insCoverageTypeDesc;string;;
32;ins_coverage_class;insCoverageClass;insCoverageClass;string;;
33;ins_plan_id;planId;planId;string;;
34;ins_plan_desc;planDesc;planDesc;string;;
35;ins_plan_class;insPlanClassId;insPlanClassId;string;;
36;ins_division_id;divisionId;divisionId;string;;
37;ins_division_name;divisionName;divisionName;string;;
38;ins_industry_sic;insIndustrySicId;insIndustrySicId;string;;
39;mbr_height;mbr_height;mbr_height;float;;
40;mbr_weight;mbr_weight;mbr_weight;float;;
41;mbr_cholesterol_hdl;mbr_cholesterol_hdl;mbr_cholesterol_hdl;float;;
42;mbr_cholesterol_ldl;mbr_cholesterol_ldl;mbr_cholesterol_ldl;float;;
43;mbr_cholesterol_total;mbr_cholesterol_total;mbr_cholesterol_total;float;;
44;mbr_cholesterol_total_hdl_ratio;mbr_cholesterol_total_hdl_ratio;mbr_cholesterol_total_hdl_ratio;float;;
45;mbr_triglycerides;mbr_triglycerides;mbr_triglycerides;float;;
