#Position;ScrubName;DisplayName;StoredName;Type;Format;Parent
1;dw_record_id;rowID;rowID;string;;
2;dw_member_id;memberId;memberId;string;;
3;dw_benplan_div_id;dw_benplan_div_id;dw_benplan_div_id;string;;
4;rev_claim_id;claimNumber;claimNumber;string;;
5;rev_claim_line_id;claimsLineNumber;claimsLineNumber;string;;
6;rev_claim_type;claimTypeId;claimTypeId;string;;
7;rev_claim_type_flag;claimsIndicator;claimsIndicator;string;;
8;ins_plan_type_code;planTypeId;planTypeId;string;;
9;ins_plan_type_desc;planTypeDesc;planTypeDesc;string;;
10;ins_carrier_id;carrierId;carrierId;string;;
11;ins_carrier_name;carrierName;carrierName;string;;
12;ins_coverage_type_code;contractTypeId;contractTypeId;string;;
13;ins_coverage_type_desc;coverageTypeDesc;coverageTypeDesc;string;;
14;ins_coverage_class;insCoverageClass;insCoverageClass;string;;
15;ins_plan_id;planId;planId;string;;
16;ins_plan_desc;planDesc;planDesc;string;;
17;ins_plan_class;insPlanClassId;insPlanClassId;string;;
18;ins_emp_group_id;groupId;groupId;string;;
19;ins_emp_group_name;empGroupName;empGroupName;string;;
20;ins_division_id;divisionId;divisionId;string;;
21;ins_division_name;divisionName;divisionName;string;;
22;ins_industry_sic;insIndustrySicId;insIndustrySicId;string;;
23;ins_cobra_code;cobraCode;cobraCode;string;;
24;ins_cobra_desc;cobraDesc;cobraDesc;string;;
25;mbr_id;unblindMemberId;unblindMemberId;string;;
26;employee_id;employeeId;employeeId;string;;
27;mbr_ssn;memberSSN;memberSSN;string;;
28;mbr_first_name;memberFirstName;memberFirstName;string;;
29;mbr_middle_name;memberMiddleName;memberMiddleName;string;;
30;mbr_last_name;memberLastName;memberLastName;string;;
31;mbr_gender;memberGenderId;memberGenderId;string;;
32;mbr_dob;memberDOB;memberDOB;date;;
33;mbr_street_1;memberStreetAddr1;memberStreetAddr1;string;;
34;mbr_street_2;memberStreetAddr2;memberStreetAddr2;string;;
35;mbr_city;memberCityId;memberCityId;string;;
36;mbr_county;memberCountyId;memberCountyId;string;;
37;mbr_state;memberState;memberState;string;;
38;mbr_zip;memberZipId;memberZipId;string;;
39;mbr_phone;memberPhone;memberPhone;string;;
40;mbr_region_code;memberRegionCode;memberRegionCode;string;;
41;mbr_region_name;memberRegionName;memberRegionName;string;;
42;mbr_relationship_code;relationshipId;relationshipId;string;;
43;mbr_relationship_desc;memberRelationshipDesc;memberRelationshipDesc;string;;
44;mbr_relationship_class;memberRelationshipClass;memberRelationshipClass;string;;
45;mbr_age_range;mbrAgeRangeId;mbrAgeRangeId;string;;
46;prv_service_provider_id;providerId;providerId;string;;
47;prv_npi;providerNPI;providerNPI;string;;
48;prv_tin;providerTIN;providerTIN;string;;
49;prv_type_code;providerType;providerType;string;;
