#Position;ScrubName;DisplayName;StoredName;Type;Format;Parent
1;dw_record_id;rowID;rowID;string;;
2;dw_member_id;memberId;memberId;string;;
3;dw_benplan_div_id;dw_benplan_div_id;dw_benplan_div_id;string;;
4;rev_transaction_num;claimNumber;claimNumber;string;;
5;ins_plan_type_code;planTypeId;planTypeId;string;;
6;ins_plan_type_desc;planTypeDesc;planTypeDesc;string;;
7;mbr_id;unblindMemberId;unblindMemberId;string;;
8;mbr_ssn;memberSSN;memberSSN;string;;
9;mbr_first_name;memberFirstName;memberFirstName;string;;
10;mbr_middle_name;memberMiddleName;memberMiddleName;string;;
11;mbr_last_name;memberLastName;memberLastName;string;;
12;mbr_gender;memberGenderId;memberGenderId;string;;
13;mbr_dob;memberDOB;memberDOB;date;;
14;mbr_city;memberCityId;memberCityId;string;;
15;mbr_county;memberCountyId;memberCountyId;string;;
16;mbr_zip;memberZipId;memberZipId;string;;
17;mbr_relationship_code;relationshipId;relationshipId;string;;
18;mbr_relationship_desc;memberRelationshipDesc;memberRelationshipDesc;string;;
19;mbr_relationship_class;memberRelationshipClass;memberRelationshipClass;string;;
20;mbr_age_range;mbrAgeRange;mbrAgeRange;string;;
21;ins_carrier_id;carrierId;carrierId;string;;
22;ins_carrier_name;carrierName;carrierName;string;;
23;ins_coverage_type_code;contractTypeId;contractTypeId;string;;
24;ins_coverage_type_desc;coverageTypeDesc;coverageTypeDesc;string;;
25;ins_coverage_class;insCoverageClass;insCoverageClass;string;;
26;ins_plan_id;planId;planId;string;;
27;ins_plan_desc;planDesc;planDesc;string;;
28;ins_plan_class;insPlanClass;insPlanClass;string;;
29;ins_emp_group_id;groupId;groupId;string;;
30;ins_emp_group_name;empGroupName;empGroupName;string;;
31;ins_division_id;divisionId;divisionId;string;;
32;ins_division_name;divisionName;divisionName;string;;
33;ins_industry_sic;insIndustrySic;insIndustrySic;string;;
34;ins_cobra_code;cobraCode;cobraCode;string;;
35;ins_cobra_desc;cobraDesc;cobraDesc;string;;
36;prv_prescriber_id;prescriberId;prescriberId;string;;
37;prv_prescriber_first_name;prescriberFirstName;prescriberFirstName;string;;
38;prv_prescriber_middle_name;prescriberMiddleName;prescriberMiddleName;string;;
39;prv_prescriber_last_name;prescriberLastName;prescriberLastName;string;;
40;prv_prescriber_type_Code;prvPrescriberTypeCode;prvPrescriberTypeCode;string;;
41;prv_prescriber_type_desc;prvPrescriberTypeDesc;prvPrescriberTypeDesc;string;;
42;prv_dea;providerDea;providerDea;string;;
43;prv_npi;providerNpi;providerNpi;string;;
44;prv_nabp;providerNabp;providerNabp;string;;
45;svc_written_date;writtenDate;writtenDate;date;;
46;svc_service_frm_date;filledDate;serviceDate;date;;
47;rev_paid_date;paidDate;paidDate;date;;
48;svc_ndc_code;ndcCode;ndcCode;string;;
